open,high,low,close
0.87,0.88,0.836,0.86
0.86,0.88,0.81,0.8254
0.8254,0.8506,0.71,0.8165
0.8165,0.8165,0.7313,0.765
0.765,0.79,0.7402,0.7411
0.7411,0.7724,0.7405,0.759
0.759,0.81,0.7405,0.809
0.809,0.85,0.78,0.8497
0.8497,0.9,0.8266,0.8669
0.8669,0.89,0.861,0.8838
0.8838,0.905,0.841,0.8552
0.8552,0.8721,0.8152,0.82
0.82,0.85,0.76,0.799
0.799,0.7997,0.7648,0.7925
0.7925,0.795,0.766,0.7897
0.7897,0.801,0.768,0.7846
0.7846,0.797,0.7741,0.7741
0.7741,0.7998,0.7741,0.782
0.782,0.7949,0.777,0.779
0.779,0.785,0.5619,0.68
0.68,0.7478,0.58,0.71
0.71,0.75,0.6902,0.74
0.74,0.7849,0.7205,0.7538
0.7538,0.799,0.7309,0.75
0.75,0.7676,0.7205,0.73
0.73,0.7589,0.71,0.7369
0.7369,0.799,0.7103,0.77
0.77,0.899,0.77,0.86
0.86,1,0.86,0.9225
0.9225,1,0.91,1
1,1.09,0.911,0.9899
0.9899,1.1,0.9541,1.05
1.05,1.14,1.03,1.11
1.11,1.2,1.11,1.16
1.16,1.2,1.14,1.2
1.2,1.2,1.13,1.14
1.14,1.21,1.14,1.21
1.21,1.41,1.19,1.41
1.41,1.95,1.32,1.7
1.7,1.95,1.6,1.63
1.63,1.7,1.52,1.56
1.56,1.79,1.53,1.79
1.79,1.95,1.72,1.9
1.9,2.65,1.66,2.21
2.21,2.95,2.21,2.88
2.88,4.15,2.75,3.5
3.5,3.87,2.5,3.03
3.03,3.5,3.03,3.2
3.2,3.49,3.11,3.41
3.41,3.58,3.25,3.41
3.41,3.45,3.33,3.33
3.33,3.61,3.29,3.45
3.45,3.7,3.43,3.64
3.64,3.94,3.63,3.87
3.87,3.9,3.69,3.8
3.8,5.99,3.8,5.81
5.81,6.07,4.6,5.5
5.5,6.49,5.22,6.3
6.3,8.45,6.3,8.2
8.2,8.9,5.83,7.2
7.2,7.78,6.2,6.99
6.99,8.5,6.75,8.03
8.03,8.39,6.98,7.19
7.19,7.5,6.6,6.88
6.88,7.34,6.61,6.81
6.81,7.1,5.58,5.59
5.59,6.52,5.58,6.12
6.12,6.76,5.99,6.69
6.69,7.45,6.69,7.15
7.15,7.51,6.96,7.42
7.42,9.33,7.22,8.4
8.4,8.99,8.01,8.8
8.8,8.83,8.5,8.5
8.5,8.7,8.11,8.3
8.3,8.49,8.1,8.43
8.43,9,8.25,8.8
8.8,9.5,8.1,8.74
8.74,9.7,8.3,9.57
9.57,10.89,9.5,10.6
10.6,14.5,10.58,14.29
14.29,18.89,14.04,18.89
18.89,19,16.2,16.7
16.7,19.23,16.45,18.55
18.55,24.32,18.26,23.92
23.92,31.91,22.21,29.6
29.6,31.5,26.15,28.92
28.92,29.4,20.01,23.95
23.95,23.99,13,14.65
14.65,24.99,10.25,18.55
18.55,24.5,16,19.84
19.84,20.5,18,19.28
19.28,20,19.02,19.49
19.49,19.89,17,17
17,18.34,13,15.68
15.68,16.95,15.05,16.89
16.89,18.88,16.85,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,17.51,17.51
17.51,17.51,14.01,16.45
16.45,18,15,16.75
16.75,17.52,16.5,16.95
16.95,17.2,16.67,16.85
16.85,17,15.73,16.1
16.1,16.74,15.26,15.4
15.4,15.8,15.27,15.4
15.4,15.69,15.31,15.44
15.44,15.49,13.14,13.86
13.86,15,11,12.91
12.91,16.5,12.67,14.78
14.78,15.9,14.5,14.78
14.78,15.64,13.9,14.31
14.31,14.7,14.02,14.38
14.38,15.68,14.35,14.9
14.9,15.2,13.8,14.21
14.21,14.64,13.9,14.01
14.01,14.15,13.91,13.95
13.95,14.07,13.7,13.99
13.99,14.09,13.5,13.81
13.81,13.81,13.5,13.72
13.72,13.75,13.02,13.16
13.16,13.92,12.51,13.48
13.48,14.7,13.44,13.85
13.85,14,13.4,13.69
13.69,13.78,13.4,13.61
13.61,13.81,13.45,13.7
13.7,13.76,13.51,13.68
13.68,14.1,13.6,13.98
13.98,14.72,13.76,14.05
14.05,14.05,13.77,13.88
13.88,14.13,13.85,13.94
13.94,13.94,13.31,13.49
13.49,13.7,13.33,13.5
13.5,13.63,13.45,13.53
13.53,14.9,12.83,13.35
13.35,13.55,12.85,13.09
13.09,13.1,11.5,12.05
12.05,12.16,8.7,9.26
9.26,11.15,9.26,10.75
10.75,10.99,9.5,9.8
9.8,9.95,5.74,6.55
6.55,9.47,6.01,7.9
7.9,8.16,7.06,7.8
7.8,12.1,7.67,9.99
9.99,10.4,9.5,9.98
9.98,10.5,8.45,9.46
9.46,9.8,8.91,9.46
9.46,10.25,9.28,10.13
10.13,11.24,9.62,10.8
10.8,11.89,10.72,11.15
11.15,11.32,10.81,10.96
10.96,11.1,10.66,10.95
10.95,11.05,10.81,10.83
10.83,11.81,10.83,11.65
11.65,11.69,11.4,11.45
11.45,11.51,11.31,11.31
11.31,11.5,10.51,10.9
10.9,11.3,10.81,10.94
10.94,11.08,10.83,10.85
10.85,10.89,9.1,9.66
9.66,9.89,7.64,8.18
8.18,9.11,8.12,8.59
8.59,9.48,8.45,9.07
9.07,9.27,8.65,8.97
8.97,9,8.55,8.79
8.79,8.79,8.01,8.2
8.2,8.36,8.1,8.21
8.21,8.71,8.21,8.64
8.64,8.69,8.36,8.48
8.48,8.49,7.85,8.18
8.18,8.19,7.25,7.61
7.61,7.66,6.12,6.86
6.86,7.6,6.53,7.19
7.19,7.2,6.51,6.53
6.53,6.58,4.18,5.03
5.03,5.49,4.63,4.77
4.77,7.4,4.6,5.86
5.86,6.58,5.41,6.08
6.08,6.09,5.7,5.8
5.8,5.85,5.32,5.62
5.62,5.62,4.44,4.84
4.84,4.99,4.61,4.82
4.82,4.93,4.7,4.77
4.77,5.6,4.72,5.2
5.2,5.64,4.9,5.46
5.46,6.8,5.45,6.11
6.11,6.29,5.06,5.61
5.61,5.83,5.29,5.43
5.43,5.71,5.41,5.55
5.55,5.64,5.32,5.47
5.47,5.49,5.32,5.33
5.33,5.4,4.72,4.87
4.87,5.13,4.78,4.92
4.92,4.97,4.63,4.77
4.77,4.8,4.67,4.78
4.78,5.35,4.74,5.14
5.14,5.25,4.86,5.03
5.03,5.1,4.91,5.03
5.03,5.04,4.89,5.02
5.02,5.03,4.92,4.96
4.96,5.03,4.83,4.87
4.87,4.9,4.5,4.73
4.73,4.8,3.78,4.27
4.27,4.34,3.83,4.01
4.01,4.39,4.01,4.1
4.1,4.2,4.01,4.1
4.1,4.1,3.85,3.93
3.93,4.45,3.9,4.15
4.15,4.2,4,4.05
4.05,4.11,3.95,3.99
3.99,4.05,3.71,3.84
3.84,3.9,3.4,3.56
3.56,3.74,2.26,2.56
2.56,2.9,2.31,2.42
2.42,2.54,2.04,2.27
2.27,2.39,2.22,2.35
2.35,2.72,2.33,2.57
2.57,3.3,2.55,3.16
3.16,3.2,2.95,3.17
3.17,3.19,2.48,2.55
2.55,3.04,2.44,2.77
2.77,2.85,2.65,2.77
2.77,3.09,2.73,3.04
3.04,3.26,2.91,3.19
3.19,3.83,3.14,3.58
3.58,3.65,3.2,3.27
3.27,3.32,3.07,3.25
3.25,3.35,3.07,3.15
3.15,3.44,3.14,3.25
3.25,3.28,3.1,3.15
3.15,3.21,3.01,3.11
3.11,3.15,2.85,2.97
2.97,3,2.92,2.96
2.96,3.03,2.95,3.01
3.01,3.21,3.01,3.04
3.04,3.11,2.89,2.95
2.95,2.97,2.8,2.84
2.84,3.11,2.82,3.08
3.08,3.11,3.01,3.03
3.03,3.05,2.95,3
3,3,2.1,2.22
2.22,2.49,2.11,2.33
2.33,2.6,2.3,2.56
2.56,2.59,1.99,2.25
2.25,2.39,2,2.05
2.05,2.26,2,2.2
2.2,2.5,2.15,2.2
2.2,2.31,2.17,2.29
2.29,2.35,2.25,2.33
2.33,2.38,2.27,2.33
2.33,2.56,2.31,2.43
2.43,2.53,2.37,2.51
2.51,2.53,2.41,2.47
2.47,2.49,2.42,2.48
2.48,2.55,2.44,2.55
2.55,2.98,2.54,2.75
2.75,3.09,2.73,2.97
2.97,3.14,2.93,3.06
3.06,3.14,3.03,3.12
3.12,3.13,2.75,2.79
2.79,2.9,2.61,2.83
2.83,2.93,2.78,2.88
2.88,3.05,2.87,3.03
3.03,3.08,2.93,2.99
2.99,3.01,2.88,2.98
2.98,3.04,2.93,2.97
2.97,3.13,2.93,3.05
3.05,3.38,2.99,3.25
3.25,3.29,3.08,3.14
3.14,3.25,3.14,3.25
3.25,3.25,2.99,3.15
3.15,3.21,3.11,3.2
3.2,3.22,3.15,3.2
3.2,3.23,3.16,3.2
3.2,3.22,3.18,3.19
3.19,3.7,3.19,3.52
3.52,4.5,3.48,3.95
3.95,4.04,3.81,3.89
3.89,3.99,3.51,3.89
3.89,3.95,3.82,3.95
3.95,3.97,3.86,3.94
3.94,4.39,3.78,4.22
4.22,4.31,3.81,4.02
4.02,4.1,3.96,4.07
4.07,4.25,3.99,4.19
4.19,4.33,4.12,4.17
4.17,4.3,4.06,4.25
4.25,5,4.2,4.72
4.72,5.5,4.62,5.27
5.27,5.47,4.8,5.22
5.22,5.29,4.65,4.88
4.88,5.7,4.75,5.57
5.57,7.22,5.57,6.95
6.95,7.21,6.13,6.7
6.7,7.02,6.38,6.81
6.81,7.2,6.73,7.11
7.11,7.19,5.81,6.33
6.33,6.89,6,6.36
6.36,7.14,6.36,6.9
6.9,7,6.34,6.8
6.8,6.8,6.4,6.41
6.41,6.95,6.22,6.75
6.75,7.08,6.74,7
7,7.19,6.51,6.68
6.68,6.95,4.64,5.6
5.6,6.95,5.1,5.92
5.92,6.36,5.87,6.36
6.36,6.58,6.26,6.49
6.49,6.55,6.1,6.18
6.18,6.45,6.1,6.31
6.31,6.39,6.21,6.36
6.36,6.39,6.22,6.29
6.29,6.32,5.5,5.75
5.75,5.92,5.3,5.34
5.34,5.51,5.05,5.29
5.29,5.76,5.26,5.63
5.63,5.7,5.33,5.38
5.38,5.6,5.37,5.49
5.49,5.65,5.43,5.48
5.48,6.2,5.47,6.08
6.08,6.2,5.82,6.1
6.1,6.14,5.72,5.96
5.96,5.99,5.84,5.87
5.87,5.88,5.45,5.69
5.69,5.72,5.45,5.45
5.45,5.78,5.45,5.69
5.69,5.85,5.3,5.6
5.6,5.92,5.5,5.83
5.83,5.99,5.8,5.91
5.91,6,5.54,5.6
5.6,5.85,5.43,5.51
5.51,5.72,5.2,5.26
